production_companies,average rating,average vote,average popularity,release year,userid
Lo Wei Motion Picture Company,2.7222222222222223,6.288888888888889,1.7164544444444445,1978,275244
Madhouse,3.287878787878788,7.099999999999996,2.7747379999999997,2003,278022
Projektions A-G Union (PAGU),3.2439024390243905,7.0,1.5241299999999998,1920,281616
Toho Company,3.9392,7.9792,5.5327469471999295,1964,282144
(주)로드픽쳐스,2.9545454545454546,6.799999999999998,1.7488379999999994,2017,268656
Canadian Film Development Corporation (CFDC)|Impact Films|Quadrant Films,3.808139534883721,7.799999999999995,0.0030129999999999944,1984,282250
Double Feature Films|Jersey Films|1984 Private Defense Contractors|Cross Creek Pictures|Exclusive Media Group|Traveling Picture Show Company (TPSC)|Free State Pictures|Da Vinci Media Ventures,3.135623869801085,6.199999999999946,14.914923999999887,2014,283164
Johnson Production Group|The Hallmark Channel,3.2142857142857144,6.6000000000000005,2.443418,2013,268656
La Parti Production|Made in Productions|Beast Productions|Gebeka Films|Les Films du GrognonRTBF|Les films du grognon|RTBF,3.727272727272727,7.400000000000012,2.259456,2009,280809
Mattel Playground Productions,2.7222222222222223,5.8999999999999995,2.363315,2011,252672
Oil Factory|Filmfour|British Screen Productions|Sleeper Films|Bozie,2.52,0.0,0.49072800000000016,2000,266700
Star Media,3.0,6.7,0.332368,2007,260467
United Artists|Bel-Air Productions,2.3,6.4,1.105228,1956,273842
Walter Wanger Productions,2.0,4.8,0.206076,1941,219815
Zee Talkies,3.8333333333333335,10.0,0.110029,2014,263047
40 Acres & A Mule Filmworks,2.6987951807228914,5.100000000000006,5.126695999999995,2004,281513
CB Films|Canal+|La Sept Cinéma|Centre National de la Cinématographie (CNC)|Dacia Films,3.5,5.0,1.224596,1996,178517
Jim Henson Pictures|Metro-Goldwyn-Mayer (MGM),2.782608695652174,4.600000000000007,6.5755050000000095,2003,281767
Mrinal Sen Productions,2.8333333333333335,5.0,0.294706,1969,123100
Powercorp,2.6578947368421053,4.5,6.500495999999999,2007,275733
United Artists|Metro-Goldwyn-Mayer (MGM),2.9556962025316458,6.899999999999991,1.144734,1987,280465
Appian Way|Warner Bros.|Pearl Street Films,3.079861111111111,6.200000000000014,19.94392999999995,2017,282172
Eve Productions|Panamint Film,3.3333333333333335,7.099999999999999,1.164316,1970,195408
Faso Film|Beyond Infinity|Taryn Productions Inc.,1.5,2.1,0.002001,1986,197735
Full Moon Entertainment,2.125,4.2,0.609029,1992,260467
Lone Star Corporation,3.2,6.339999999999999,1.5818249999999996,1916,280978
New Line Cinema|SC Entertainment,3.5029841838257236,7.0,4.289340999999799,1990,283008
Rainmaker Entertainment|Blockade Entertainment|Sony Computer Entertainment,2.7785714285714285,5.399999999999995,9.115939000000015,2016,282374
Sveriges Television (SVT)|Louverture Films|Story AB,3.6296296296296298,7.699999999999997,0.38528799999999985,2011,260352
Columbia Pictures Corporation|Morningside Productions,3.598676293622142,6.799999999999893,11.118378999999651,1958,283153
Concorde-New Horizons,0.5,4.0,1.198688,1995,111908
Coop 99|Österreichischer Rundfunk (ORF)|ARTE|Bayerischer Rundfunk (BR)|Starhaus Filmproduktion,3.2818181818181817,6.699999999999994,3.0000699999999965,2012,280928
Gordonstreet Pictures|Equity Pictures Medienfonds GmbH & Co. KG|Garlin Pictures,2.1944444444444446,5.400000000000002,2.2190629999999993,2006,277730
La Petite Reine|Studio 37|Canal+|Ciné+,2.9547872340425534,5.8999999999999915,8.804658000000014,2012,280859
New Line Cinema,3.3655059500039934,6.685344621036678,10.006275968774089,2005,283198
Soyuzmultfilm,3.7950819672131146,6.5016393442622915,1.3122532076502753,1974,280608
Sycamore Pictures,2.6176470588235294,4.699999999999999,14.921477999999993,2014,279173
Toho Company|PSC,3.6458333333333335,7.099999999999968,4.321776,1977,280978
Trimark,2.58,4.599999999999998,3.1148830000000003,1997,282119
Universum Film (UFA),3.0,8.3,1.652859,1929,227150
Walt Disney Pictures|LivePlanet|Prana Studios|Sean Bailey Productions|Revolution Sun Studios|Kontsept Film Company,3.288147007889167,6.2999999999994865,21.259000000001425,2010,283117
Wayne-Fellows Productions|Warner Bros.,2.5,5.3,0.8220580000000001,1952,188864
Emmett/Furla Films|PalmStar Media|Remark Films,2.5089285714285716,4.5,6.402939000000003,2016,267679
Filmwerx77|Left Films,1.3333333333333333,3.4,1.484663,2008,235106
"France 2 Cinéma|Gullane Filmes|Le Pacte|Canal+|Telecine|Globo filmes|Media Programme of the European Community|Biloba|Tetra Pak|ANCINE/Ministério da Cultura, Fundo Setorial do Audiovisual|Banco da Amazônia|CNC - Nouvelles Technologies en Production|FINEP/Ministério da Ciência, Tecnologia e Inovacão|GDF Suez|La Procirep-Angoa|Natura",3.6666666666666665,6.3,4.991293,2013,253986
Rome Paris Films,2.5,6.5,1.122109,1963,164591
Sverdlovskaya Kinostudiya,2.75,10.0,2.2E-4,1983,282119
Trilogy Entertainment Group|RCR Media Group|Solar Filmworks,3.1,5.5,6.651567,2013,282119
Twentieth Century Fox Film Corporation|Fox 2000 Pictures|Josephson Entertainment|MBC Beteiligungs Filmproduktion,2.9637305699481864,6.100000000000151,6.102058999999885,2005,282947
Warner Bros. Animation,2.9166666666666665,6.1000000000000005,1.7747309999999998,2014,216280
Woodfall Film Productions,3.71875,5.5,2.6783950000000054,1960,281631
Bac Films|VideoFilmes|Haut et Court|Dan Valley Film AG,3.4031007751937983,6.399999999999985,1.8368649999999962,2001,281790
Filmax Group|Castelao Pictures|Somnium Films,2.9375,5.1,2.1718690000000005,2015,266004
Five Star Production,1.75,5.8,1.175345,2010,198355
Paramount Pictures|Hal Wallis Productions,2.0,5.1000000000000005,0.342638,1960,248694
Talía Films|Les Films Corona|Época Films S.A.|Selenia Cinematografica,3.7787610619469025,7.200000000000011,7.53026399999999,1970,281790
Columbia Pictures|Happy Madison Productions|Relativity Media,2.7498505678422,6.0,23.981249999999886,2010,283199
Dania Film,2.875,6.5,0.896633,1975,187986
Dor Film Produktionsgesellschaft GmbH|Ceská Televize|Österreichischer Rundfunk (ORF)|Barrandov Studios|Total HelpArt T.H.A.|ALEF Film & Media Group,3.8363095238095237,7.299999999999978,2.0595989999999955,2003,280835
FOZ|Wild Bunch|Mars Distribution|Mandarin Films Distribution Co.|Canal+|France Télévision|Scope Pictures|France 2 Cinéma,3.152892561983471,6.100000000000013,5.899324999999987,2010,282203
Fu Works|Submarine|OneBigAgency,3.0,7.5,0.410722,2015,224986
Rainfall Films,1.625,6.0,1.4741859999999998,2009,212343
Studio Canal,3.5303030303030303,7.0,2.6676219999999953,2010,283000
Twentieth Century Fox Film Corporation|Academy Pictures Corporation,3.0288461538461537,6.699999999999994,2.3143369999999983,1974,279713
Universal Pictures|The Filmakers Group,2.6777777777777776,5.599999999999955,6.657791999999975,1974,281235
Whitewater Films,3.5689448441247,6.899999999999941,12.428269,2004,283093
Algonquin,3.6666666666666665,5.400000000000001,1.423976,1974,158879
Bedford Pictures Inc.|Levy-Gardner-Laven,2.75,4.1,0.400573,1962,185633
Leonard Hill Films|Brainstorm Media,3.0,5.8999999999999995,7.325924,2011,277241
Les Films Pomereu|Gaumont International,3.227272727272727,7.300000000000001,0.6247260000000003,1975,268292
Oriental International Films,3.6633663366336635,6.5,1.7583170000000028,1951,281790
Peoples Productions|Revision Studios|Wey-Man Productions,3.75,5.6,1.011466,2000,123100
Rainbow Productions,2.0,4.5,0.135091,1952,227150
Shapiro-Glickenhaus Entertainment,2.45,5.8999999999999995,0.644934,1993,253511
Sveriges Television (SVT)|Matila Röhr Productions (MRP)|Yleisradio (YLE)|Eyeworks|Film i Väst,3.272727272727273,6.0,1.035143,2014,281447
The Made Bed Productions|Nomadic Independence Pictures|Jagjaguwar,2.611111111111111,5.2,1.311874,2015,272734
icon,3.9366901147723063,7.7999999999996055,8.888393000000137,2009,283165
ARP Sélection|TF1 Films Production|Canal+|TPS Star,2.0,4.9,1.12553,2005,44606
La Fabrique de Films|Telecinco Cinema,3.1232876712328768,5.7000000000000295,5.97385000000003,2007,282792
NFL Films|Intersport Television,4.1,6.6,1.142239,2008,272543
Sick-the Life and Death of Bob Flanagan-Supermasochist,3.5625,5.900000000000003,0.4919449999999998,1997,274207
UniKorea Pictures|Dream Venture Capital|East Film Company,3.652173913043478,7.800000000000006,2.9250340000000024,2002,275841
Walt Disney Studios Home Entertainment|Key Pix Productions|Keystone Entertainment|Santa Buddies Productions,2.3421052631578947,5.0,4.688709000000001,2009,279094
3311 Productions|In A World|Team G|More Films,3.386861313868613,6.400000000000049,9.769134000000035,2013,283000
China Star Entertainment|Milky Way Image Company|One Hundred Years of Film Company,3.465,6.700000000000005,3.222360999999999,2005,281040
Gaumont|Samsa Film|Canal+|CinéCinéma|Radio Télévision Belge Francophone (RTBF)|Artémis Productions|Bankable|La Sofica Cofinova 4|Film Fund Luxembourg|Cofinova 4,3.406759906759907,6.599999999999948,6.670933,2008,283195
Instinct Entertainment,1.5,6.9,1.527217,2009,120249
Mercury|Filmsonor|Dear Film Produzione,4.0,6.5,0.191724,1962,195585
Newmarket Films,3.6193242952442435,7.0,7.189023999999517,2003,283095
Planet Film Productions,2.9,5.4,1.6502510000000001,1967,191924
Schramm Film Koerner & Weber|Arte|Tempus|Westdeutscher Rundfunk (WDR)|Bayerischer Rundfunk (BR),3.6626984126984126,6.399999999999985,5.298121000000003,2014,279094
StudioCanal|M6 Films|Les Productions du Trésor|TF1 Films Production,3.4166666666666665,6.1000000000000005,4.584117,2004,258053
The Massive Film Company,2.0,6.3,0.376757,2017,236981
Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360|Cloud Eight Films,3.4781085814360773,6.800000000000125,16.22486700000042,2015,283000
Z-M Productions,2.4814814814814814,3.299999999999998,1.337813,1953,280398
A.J. Films,2.5714285714285716,0.0,1.9500000000000002E-4,1984,282119
Action International Pictures,3.75,5.5,0.641417,1987,243666
Bullet Films,1.5,3.9333333333333336,1.0532066666666666,2011,221504
Centerstage Productions,2.6666666666666665,5.8,0.744425,2008,262584
EMI Films Ltd.,3.3801369863013697,7.100000000000015,1.4715500000000012,1970,272626
Fox Film Corporation,3.086206896551724,6.344827586206896,0.7048786896551724,1935,263301
Imagine Entertainment|Universal Pictures,3.2345050679318526,6.399999999997462,10.02048353987261,1997,283195
Slotint|Phoenix,3.0,5.8,0.702793,1981,123100
United Artists|The Criterion Collection,4.00705329153605,7.8999999999997526,7.8923369999997774,1955,283204
Warner Brothers/Seven Arts,2.9904761904761905,5.249523809523813,3.0770811904761954,1968,268681
Bulgarian National Television|Bulgarian National Film Center|Miramar Film,3.0208333333333335,5.200000000000002,1.169328,2008,277812
Fuel Entertainment|Lost Junction Films,1.5,3.5,1.194126,2006,37046
Rai 2|Erre Produzioni|Alia Film,3.3823529411764706,7.099999999999998,1.2310960000000004,1992,281790
Regency Enterprises|Inferno International|1984 Private Defense Contractors|Closest to the Hole Productions|New Regency Pictures|Emmett/Furla Films|Envision Entertainment Corporation|Black Bear Pictures|Leverage Communications,2.968503937007874,5.700000000000027,12.136157999999945,2013,282172
Alliance Films,3.111111111111111,5.799999999999999,0.555885,1947,227150
Columbia Pictures|New Line Cinema|Castle Rock Entertainment,2.642007926023778,5.199999999999929,0.9871960000000084,1992,283195
Lux Vide,4.0,5.8,2.969323,2014,280810
PolyGram Filmed Entertainment,3.62471386180585,7.199999999999732,8.328595999999502,1994,283224
Triggerfish Animation,2.8684210526315788,5.799999999999998,5.219667,2013,277645
Universal Pictures|Dark Horse Entertainment|Lawrence Gordon Productions|Mid Atlantic Films|Relativity Media|Internationale Filmproduktion Eagle,3.362857142857143,6.5,11.928660999999632,2008,283138
i5 Films|Headquarters,3.3097826086956523,5.700000000000027,2.239111999999986,2001,281340
Abra Producciones|Departamento de Cultura del Gobierno Vasco|ICAA|ETB,2.0,6.8,1.323874,2014,279849
Columbia Pictures|Castle Rock Entertainment|Relativity Media|Banter,2.7493796526054592,5.099999999999962,7.323405000000056,2009,282363
Decla-Bioscop AG|Universum Film (UFA),3.7903225806451615,7.5,0.8289490000000005,1924,271383
Film Finance Group|The New South Wales Film and Television Office|Paradigm Hyde Films,3.552808988764045,7.0,4.772204000000039,2006,283093
GFT Action Films Inc.,2.0,4.1,2.480543,2004,155976
MK2 Production|BiBi Film|The Antria Group (TAG),3.638888888888889,7.400000000000023,10.701501000000006,2010,283000
New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,2.7781569965870307,5.400000000000022,6.90658000000003,2015,282172
RKO Radio Pictures|Sam Wiesenthal Productions,3.0,7.0,0.337901,1956,66462
Renn Productions|films A2|Timothy Burrill Productions|Grai Phang Film Studio,3.5712328767123287,6.5,7.281964999999995,1992,281950
Schramm Film Koerner & Weber|ARTE|Bayerischer Rundfunk (BR),3.54,6.3,1.2421830000000005,2008,263301
Summertime Films|Her Best Move LLC,3.0,3.9,0.98754,2007,172271
Twentieth Century Fox Film Corporation|Greenestreet Films|Cobalt Media Group|Furthur Films|Forrest Films,2.33596837944664,5.0,8.42141100000004,2002,282361
Bulletproof Productions,1.875,6.5,0.183677,1988,206360
Canal Plus|Sogecine|Himenóptero|Eurimages|Televisión Española (TVE)|Union Générale Cinématographique (UGC)|Televisión de Galicia (TVG) S.A.|Ministerio de Cultura|Sogepaq|Eyescreen S.r.l.|Filmanova,3.925537231384308,7.200000000000241,14.697680000000352,2004,283184
Capital Film,4.032608695652174,7.0,8.544677999999985,1980,279725
National Film Development Corporation of India,4.75,0.0,8.08E-4,1991,218554
"RKO Radio Pictures, Inc.|Walt Disney Productions",2.95,5.5,0.664346,1938,263860
Societa Cooperativa Alfa Cinematografica,3.675,7.6,3.11797,1946,281790
Walt Disney Pictures|Jerry Bruckheimer Films|Technical Black|Run It Up Productions Inc.,3.7803878062897938,7.4000000000000306,6.587725999999259,2000,283195
Centre National de la Cinématographie|Backup Films|Fonds Sud Cinéma|Illuminations Films|Ministère de la Culture et de la Communication|TIFA|Anna Sanders Films|Kick the Machine|French Ministry of Foriegn Affairs|New Crowned Hope,3.593220338983051,7.100000000000007,1.851506999999999,2006,280978
Columbia Pictures Corporation|Price Entertainment,3.9140929146119907,5.700000000000409,2.6607719999999535,1992,283131
Fridthjof Film,2.1666666666666665,6.900000000000001,2.132882,2008,264007
Magnolia Pictures,3.8030085959885387,7.299999999999961,6.931952000000061,2008,282808
Park Ex Pictures|Sortie 22,3.4124293785310735,6.5,5.397604,2006,283170
PolyGram Filmed Entertainment|Warner Bros.,2.198807157057654,4.199999999999398,17.038823999997486,1997,283195
Rupam Chitra,3.8333333333333335,6.5,0.125203,1972,271313
Silent Films Inc.,1.8333333333333333,4.6,0.6167,1990,111908
The Rank Organisation,3.111111111111111,6.266666666666667,2.290551888888889,1975,253986
Twentieth Century Fox Film Corporation|Dune Entertainment III|Earth Canada Productions|Hammerhead Productions|3 Arts Entertainment,2.7980725103258375,5.200000000000109,9.265321999999633,2008,282748
Universal Pictures|Original Film|One Race Films,3.203551912568306,6.800000000000094,48.57328799999965,2017,283164
Vnesheconombank|Nutcracker Holdings|HCC Media Group|Russian Roulette Ltd.,1.8125,5.3,3.394928,2009,257542
Voltage Pictures|Ram Bergman Productions|HitRecord Films,3.1324957167332954,5.899999999999807,10.948604999999949,2013,283000
Zeitman-Landers-Roberts Productions,2.625,5.6,0.519687,1978,172357
CJ Entertainment|REALies,3.426470588235294,7.400000000000004,3.2910159999999995,2012,282149
Home Box Office (HBO)|CR Enterprises|Production Partners,3.5844155844155843,7.800000000000001,1.7493170000000013,1999,282808
Ibérica Filmes,3.2857142857142856,6.5,1.415683,1967,260467
Jadran Film|Rialto Film Preben-Philipsen,3.3333333333333335,5.5,1.720155,1965,216499
Karé Productions,3.0,5.6,3.841513,2008,136625
Procirep|Canal+|One World Films|Pathé|Ciné+|Centre National de la Cinématographie (CNC)|Media Programme of the European Community|Backup Media|Cinémage 8|Indéfilms 2|Perceval Pictures|Kaléo Films|Jouror Développement|B Media 2012|SofiTVCiné|Dévelopimage 2|Ciclic - Région Centre,3.703125,6.599999999999996,3.790687000000002,2014,277378
The Movie Network (TMN)|Syfy|Cinetel Films|Movie Central Network|Super Écran|Reel One Pictures|National Bank of Canada TV and Motion Picture Group,2.090909090909091,3.5,1.0100720000000003,2010,272676
Universal Pictures|Sean Daniel Company|Secret Hideout,2.649193548387097,5.400000000000058,33.70493300000054,2017,282732
Наше Кино,2.4444444444444446,4.0,0.11413300000000001,2008,278022
Lea Film,2.8636363636363638,6.5,2.095122000000001,1972,271383
MANIFOLD PICTURE,0.6666666666666666,5.3,1.062709,2016,152381
Pathe Communications|Pathe|Eurowide Film Production,3.761904761904762,6.599999999999997,2.044356,2013,279421
Rhombus Media,2.943298969072165,5.600000000000009,4.193073000000009,2007,280835
Capitol Films|Linsefilm|Unity Productions|Michael Cerenzie Productions|Funky Buddha Productions,3.556973293768546,6.899999999999787,9.309966999999686,2007,283075
Dauntless Productions,2.5,4.0,0.831305,1977,279173
Twentieth Century Fox Film Corporation|Fox 2000 Pictures|ETIC Films|Heyday Films|Engulf & Devour Productions Inc.,3.2455176402544823,6.799999999999869,5.48664500000008,1999,282807
Associated British-Pathé,2.5,0.0,0.33135,1966,228472
Filmové Studio Barrandov|Ceskoslovenský Státní Film,4.125,7.299999999999999,0.3972470000000001,1966,263816
First National Productions,3.5294117647058822,6.599999999999998,0.7625119999999997,1935,275204
Flight 33 Productions,3.357142857142857,6.900000000000004,2.005716999999999,2008,278022
Instituto Nacional de Cine y Artes Audiovisuales (INCAA),3.0,4.8999999999999995,1.985124,2011,269098
Shaw Brothers,2.9827586206896552,6.565517241379309,1.6435564482758624,1983,266657
Beco Films|Morgan Creek Productions,2.568681318681319,5.799999999999981,7.519228999999997,1989,281968
Glass Eye Pix|Predestinate Productions,3.659090909090909,6.599999999999997,1.4521149999999994,2013,271383
Hammer Film Productions|EFTI|Exclusive Media Group|Overture Films,3.5822676896845693,6.699999999999874,11.119459999999899,2010,282607
Les Films Alyne,3.1538461538461537,6.200000000000002,1.122997,2011,270768
Mikado Film|Lenfilm Studio|Adventure Pictures,3.4909217877094973,6.6999999999999975,3.800785000000038,1992,282922
New South Wales Film & Television Office|Pacific Film and Television Commission|Screen Australia|The Silence Productions|Lucky Country Productions,3.858695652173913,7.199999999999994,5.661077000000003,2010,280868
A Million Monkeys|Melbourne Film Office|Molloy Boy Productions|Showtime Australia,3.4285714285714284,7.300000000000008,0.111834,2002,280002
Hallmark Entertainment|Showtime Networks,3.2987012987012987,3.9000000000000004,0.901452,1996,268252
Walt Disney Productions,3.4875372816361314,6.789933958245681,13.52298628504669,1979,283195
Balkan Film|Maxima Film|Biberche|Tivoli Film Produkcio,3.5714285714285716,6.799999999999999,0.980587,2011,264763
Boku Films|Compound B,2.409090909090909,4.799999999999999,4.805757,2013,268574
Europa Film,3.492957746478873,7.5,0.09890600000000013,1970,281790
Open Road Films|Gulfstream Pictures|Red Rover International|ToonBox Entertainment,2.9006849315068495,5.5,7.875793000000009,2014,278121
Svensk Filmindustri (SF),3.667372881355932,7.540677966101672,3.100123847457632,1953,281790
Balcor Film Investors|MPI|Bima,2.5,5.0,6.029999999999996E-4,1987,275580
Hasbro|DHX Media,3.1375,7.099999999999999,8.353230999999996,2013,273742
Iervolino Entertainment|Red Carpet|Camaleo,1.5,4.9,1.26876,2013,137096
Nettlefold Films,3.5,6.5,0.99295,1953,123100
Nova|Greek Film Center|2/35|Highway Productions|Lamisalia,2.0,5.700000000000001,1.0901560000000001,2009,258053
Regency Enterprises|The Kennedy/Marshall Company|Ubisoft|CatchPlay|New Regency Pictures|Latina Pictures|RatPac Entertainment|Monarchy Enterprises S.a.r.l.|Ubisoft Motion Pictures|DMC Film|Alpha Pictures,2.688888888888889,5.400000000000061,27.541069999999642,2016,282732
SarcoFilms,3.5,3.8,2.913855,2007,162500
Avenue Pictures Productions|Weed Road Pictures|Intermedia Films|Egmond Film & Television|Dimension Films|Outlaw Productions (I)|Mindhunters (UK) Limited|Mindhunters Productie BV|Tonna Oy|Outlaw Victoria Productions Inc.,3.0902777777777777,6.300000000000101,7.6000169999999665,2004,282438
Big Up Productions,3.25,4.8,0.404863,2009,225473
Channel Four Films|October Films,2.986754966887417,5.5,0.2083300000000001,1999,282617
Chrysalis Films,3.1785714285714284,6.200000000000019,5.3790390000000095,2011,280868
Fine Line Features|New Line Cinema|Live Entertainment,3.3044914134742402,6.399999999999998,1.8612920000000288,1994,282807
Glass Eye Pix,2.3125,5.0148809523809526,0.9192050059523802,2010,280148
Michaelgion,3.5,0.0,0.011637,2012,218421
Next Wednesday Productions|Voltage Pictures,2.8840304182509504,5.5,8.144254999999982,2015,282808
North by Northwest Entertainment,2.810344827586207,5.199999999999999,5.658505999999999,2011,275466
Pacific Entertainment Group,2.3333333333333335,5.200000000000001,1.9447959999999993,2007,273842
Société Nouvelle Cinévog|Dionysio Cinematografica,2.5,4.8,0.484645,1981,172357
Stellar Mega Films|We Productions,4.5,5.0,0.473097,2011,280002
StudioCanal|Mutual Film Company|2929 Productions|Magnolia Pictures|Madhouse Entertainment,3.0089285714285716,5.600000000000016,8.435294000000031,2012,278420
"Tokyo Eiga Co., Ltd.",2.25,0.0,0.002671,1972,188864
Toledo Productions,2.7142857142857144,7.200000000000001,6.710178999999998,2016,179605
Casa de Cinema de Porto Alegre,3.9583333333333335,7.799999999999998,0.300881,1989,260072
Columbia Pictures|1492 Pictures|Revolution Studios,3.4189536878216122,6.699999999999874,9.53027800000014,2005,282984
Detention Films,3.080952380952381,5.7,7.749670000000009,2012,280154
Flora Film|Tritone Cinematografica|Zenith Cinematografica|Cedic|Rapid Film|Bercol Films,3.0,5.8,0.158707,1969,187986
Hesperia Films S.A.|Pedro Masó Producciones Cinematográficas,3.6666666666666665,6.3,0.36273,1962,253242
Original Film,2.8306878306878307,5.399999999999922,6.418936000000027,2001,283095
Stoney Lake Entertainment,2.004424778761062,3.6999999999999926,11.519052999999987,2014,280685
The Rank Organisation|Cinévidéo,2.3333333333333335,6.2,0.57948,1977,274433
Tommy,3.3043478260869565,6.0,3.256687,1993,277507
Artistes Alliance Ltd.|Diamond Pictures Corp.,2.6666666666666665,5.3,1.311197,1959,219815
Buffalo 8 Productions|Best Served Cold Productions,2.6,5.5,3.050843999999999,2016,275402
Cell|Oz Company|Toei Video Company,3.2037037037037037,6.0,2.2159979999999995,2009,270412
Fulvia Film,2.907766990291262,5.699999999999999,4.273867999999994,1982,276118
Kimura Productions,3.625,6.2,3.08E-4,1981,153978
Yellow Bird Films,3.3333333333333335,5.3,1.16425,2013,223722
Alcon Entertainment|Lionsgate|Phoenix Pictures|What to Expect Productions,3.00611620795107,5.799999999999969,7.271502999999976,2012,281575
Alma Films,3.6216216216216215,7.0,5.054966999999995,2007,278420
American International Pictures (AIP)|Peter Thomas Productions,2.264367816091954,4.100000000000004,7.706247999999995,1972,280148
Image Ten,2.5689655172413794,5.5,5.634674999999998,1978,277685
Intermedia Films|Kanzaman|C-2 Pictures|IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,2.2449725776965264,4.5999999999999535,15.321901999999861,2006,283146
NBC|Fries/Schultz Film Group,2.5,5.0,0.710193,1988,141955
Nomadic Pictures|BMG Independents,2.6688741721854305,5.200000000000011,2.449079999999997,1997,280908
PostPanic,2.5833333333333335,6.2,1.7144010000000003,2015,236758
Finding Cinema,3.1875,7.3999999999999995,1.188662,2015,271113
Fretboard Pictures,3.44,5.599999999999998,0.8051899999999997,2012,275716
Thunder Perfect Mind,3.7,5.6,0.847311,2014,265335
Compass International Pictures|Falcon International Productions,3.5443631931748936,7.400000000000993,13.672758999997725,1978,283172
Eurimages|Gémini Films|Cultural Ministry,3.375,8.0,0.908927,2000,198355
Zanzibar Films|Capital Cinéma|Open Films,3.8,8.3,5.78E-4,1972,198355
Columbia Pictures Corporation|Santana Pictures Corporation,3.943308550185874,7.5,6.33182600000006,1950,282942
Darlow Smithson Productions|ITV,1.0,0.0,0.009464,2009,210325
Dimension Films|Blue Tulip Productions,3.741841385597083,6.900000000000108,12.67163700000252,2002,283186
Eros International|Grazing Goat Pictures Pvt Ltd,2.75,5.7,1.017176,2015,223644
Fox Searchlight Pictures|DNA Films|BBC Films,3.5579937304075235,6.799999999999979,7.8324840000000195,2015,283000
Rapid Film,3.1666666666666665,4.4,2.110381,1972,191063
Sidney Kimmel Entertainment|Blumhouse Productions|Gold Circle Films|Griffin & Phoenix Productions|The Orphanage,3.4864864864864864,6.599999999999996,13.534116999999991,2006,278022
Stefano Film,2.25,5.300000000000007,2.364193,1981,280982
American First Run Studios,4.0,1.0,0.33017,1989,267030
Ang Lee Productions|Good Machine|Central Motion Pictures,4.022713368002448,7.5,4.860015999999481,1994,283195
Blinder Films|Chic Films|Amazon Studios|Westerly Films|Revolver Amsterdam,3.2641129032258065,6.400000000000022,12.822084999999934,2016,283000
Charter Film Productions,3.5,6.4,2.0612150000000002,1968,265335
Fog City Pictures|Precept Productions|Objective 49,3.0,0.0,0.316591,2013,85406
Miramax Films|Eagle Beach Productions,3.2440860215053764,5.600000000000139,3.10923999999988,1999,283116
Oakshire Productions|Titan International,2.642857142857143,5.5,0.9315550000000001,1968,271383
Spark Media|Unity Productions Foundation,4.0,0.0,0.010448,2008,187817
Staragara,3.2857142857142856,6.0,0.16687000000000002,2005,269678
Vox3 Films|Serenade Films|Olympus Pictures|Deer Path Productions|Northwood Productions,3.6470588235294117,6.900000000000062,7.00372400000005,2009,283000
Yalta-Film,2.6,4.2,1.855076,2008,278022
A Bigger Boat|Relativity Media|FilmNation Entertainment,2.869888475836431,5.599999999999982,8.513457000000013,2012,281842
