title,average rating,average vote,average popularity,release year
"Three Lives of Thomasina, The",3.4055555555555554,6.799999999999999,2.0968499999999985,1964
About The Pink Sky,3.5,0.0,0.011637,2012
Brigadoon,3.3901601830663615,6.8000000000000345,12.645216999999976,1954
Desert Dancer,2.9444444444444446,6.5,1.538705,2014
Emergency Squad,2.75,5.9,0.007963,1974
"Entertainer, The",3.71875,5.5,2.6783950000000054,1960
Good Old Daze (Le péril jeune),3.5952380952380953,7.099999999999997,3.004877,1994
Hugo Pool,2.6688741721854305,5.200000000000011,2.449079999999997,1997
Pandaemonium,3.175,4.5,0.6609689999999999,2000
Phoenix,3.6626984126984126,6.399999999999985,5.298121000000003,2014
Shower (Xizao),3.813780260707635,6.800000000000062,4.359334000000019,1999
Super Fly (Superfly),3.303225806451613,7.0,1.2225379999999955,1972
Tables Turned on the Gardener,2.9782608695652173,7.0,1.9634209999999992,1895
The Ducktators,3.5,5.5,0.50716,1942
Tom & Thomas,2.6666666666666665,6.3,0.4975490000000001,2002
Cabo Blanco,1.8333333333333333,5.2,1.568954,1980
Casi Divas,3.0,7.0,0.536386,2008
Four of the Apocalypse,3.0,6.1,0.619874,1975
Ishqiya,3.5357142857142856,6.599999999999999,1.1356439999999997,2010
Mischief Night,2.642857142857143,4.3999999999999995,5.265909999999999,2013
"Players, The (Les infidèles)",2.76,4.200000000000002,0.46801199999999993,2012
Rest Stop,2.6574074074074074,5.0,4.657670999999995,2006
The Great Alligator,2.3333333333333335,2.7000000000000006,0.48111299999999996,1979
Two for the Road,3.6222826086956523,7.200000000000024,14.701129000000027,1967
United Red Army (Jitsuroku Rengo Sekigun: Asama sanso e no michi),3.9,6.1,1.20049,2007
Before Your Eyes (Min Dit: The Children of Diyarbakir),3.7,7.4,0.521868,2009
"Glass House, The",2.8306878306878307,5.399999999999922,6.418936000000027,2001
"History of Violence, A",3.6302660753880267,6.900000000000704,11.119706999999508,2005
King of the Jungle,2.3333333333333335,5.0,0.9382339999999997,2000
La León,3.375,8.7,0.114889,2007
Los Punks: We Are All We Have,3.25,5.0,0.107496,2016
People in Places,2.75,5.0,0.353707,2013
"Visit, The",3.0319148936170213,0.0,0.0017120000000000002,2000
"Young Americans, The",2.5813953488372094,5.800000000000004,1.517339999999999,1993
Adrenalin: Fear the Rush,2.281456953642384,3.8999999999999893,0.7822919999999985,1996
"Day the Earth Stood Still, The",2.7980725103258375,5.200000000000109,9.265321999999633,2008
Jack and the Beanstalk,3.25,5.8,2.157779,2010
Kill Ratio,2.4,3.9,1.706017,2016
Kung Fu Panda 2,3.486421725239617,6.700000000000393,11.481920999999367,2011
Le dernier souffle,3.0,4.0,0.072704,1999
Perry Mason: The Case of the Lost Love,1.75,6.5,0.909611,1987
Purple Noon (Plein soleil),3.7115384615384617,7.30000000000006,3.804493000000034,1960
"Sacrament, The",3.2364341085271318,5.600000000000013,5.350657999999993,2013
Sappho,2.6,4.2,1.855076,2008
True North,2.75,6.0,1.325624,2006
A Cookie Cutter Christmas,4.5,6.400000000000001,0.8199489999999999,2014
Breaking and Entering,3.2122448979591836,6.299999999999972,4.217410999999993,2006
"Brothers Karamazov, The",3.1363636363636362,6.799999999999998,3.4251420000000006,1958
"Dark Lurking, The",1.3333333333333333,3.4,1.484663,2008
Funny Face,3.619398752127056,7.0,5.461486999999906,1957
"Greystoke: The Legend of Tarzan, Lord of the Apes",3.0231481481481484,6.0,4.627864999999965,1984
L'Oranais,3.75,8.2,0.742137,2014
Muzungu,5.0,6.0,0.057844,1999
Ostia,0.5,6.5,0.382045,1970
Place de la République,3.8,6.3,0.237242,1974
Race,3.4956521739130433,7.0,7.979301999999987,2016
Roadside Prophets,3.158333333333333,6.800000000000007,3.190592000000002,1992
Seventy-Two Days,3.0,6.0,0.94711,2010
The Opponent,1.5,5.2,0.157463,2001
Bugcrush,3.5,6.8,1.670852,2006
"Csocsó, avagy éljen május elseje!",4.0,6.0,0.092977,2001
Curious George 2: Follow That Monkey!,2.727272727272727,6.1000000000000005,2.2417699999999994,2009
Devils on the Doorstep (Guizi lai le),3.0526315789473686,7.699999999999999,2.4388219999999974,2000
Don't Go to the Reunion,2.0,4.9,0.223536,2013
Liliom,3.5,6.7,0.504987,1930
Sehar,3.3333333333333335,7.7,0.46368800000000004,2005
Something About Amelia,3.5,6.5,0.156607,1984
"Ultimate Warrior, The",2.142857142857143,4.6000000000000005,6.673398,1975
Cardcaptor Sakura: The Sealed Card,3.1470588235294117,8.0,1.31263,2000
Curve,2.9571428571428573,4.5,4.957057999999999,2015
D Day,2.0,5.8,0.665913,2008
Death of a Shadow,3.875,7.5,0.84046,2012
Don't Click,2.5,4.8,2.325504,2012
Eye of the Tiger,2.590909090909091,5.099999999999996,4.279404999999998,1986
Finian's Rainbow,2.9951923076923075,5.300000000000003,3.100523000000005,1968
"Five Wives, Three Secretaries and Me",1.9166666666666667,0.0,0.0016479999999999993,1998
Hi Way,4.5,7.5,0.08482,2006
"My Lady Margarine (Die Austernprinzessin) (Oyster Princess, The)",3.2857142857142856,7.3999999999999995,0.35289200000000004,1919
No Mercy,2.865606936416185,5.700000000000031,11.27367499999994,1986
Paradise,0.5,2.0,0.100144,2015
Redeemer,3.1666666666666665,4.7,1.586498,2014
Stories of Lost Souls,2.6666666666666665,5.0,0.7489560000000001,2005
"Strange Behaviour of Sexually Mature City Slickers at Mating Season, The (Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit)",2.9444444444444446,6.299999999999999,0.763398,1998
The Black Pimpernel,2.0,6.099999999999999,0.48155600000000004,2007
The Uncanny,2.3333333333333335,6.2,0.57948,1977
"Wedding Director, The (Il regista di matrimoni)",3.1666666666666665,5.8,0.906035,2006
Agyaat,1.3333333333333333,5.3,0.118962,2009
April's Shower,2.5681818181818183,5.0,0.9962020000000001,2003
City of God (Cidade de Deus),4.184896558122275,8.200000000001486,14.959269999996557,2002
Hollywood Hot Tubs,2.5,4.0,0.035358,1984
Keep 'Em Flying,5.0,7.0,0.74624,1941
Rain Fall,1.625,6.0,1.4741859999999998,2009
Second Skin,3.0,3.5,0.214747,2009
Sundays,2.5833333333333335,6.2,1.7144010000000003,2015
The Demented,0.8333333333333334,4.6,2.092272,2013
Death In Love,2.25,5.0,0.859916,2008
Giovanna d'Arco al rogo,1.75,5.0,0.253016,1954
Hamoun,3.2777777777777777,7.5,0.504825,1990
Le Grand Partage,3.5,4.5,3.849773,2015
"Moine, Le (Monk, The)",2.8846153846153846,5.799999999999998,8.888717999999999,2011
Overboard,3.296280991735537,6.699999999999872,5.549621000000063,1987
Rabid Dogs,2.6666666666666665,5.6000000000000005,2.645913,2015
Alien Trespass,2.607142857142857,5.900000000000004,10.067124999999992,2009
"Beginner's Guide to Endings, A",3.3125,6.3999999999999995,0.564126,2010
Gladiator,3.9140929146119907,5.700000000000409,2.6607719999999535,1992
Greg Fitzsimmons: Life on Stage,3.1666666666666665,5.5,0.211032,2013
I’m Glad My Mother Is Alive,3.0,6.3,0.271272,2009
Love's Coming,3.6666666666666665,6.0,1.5124380000000002,2014
Restless Virgins,1.3333333333333333,6.2,1.9057000000000002,2013
Romeos,3.8461538461538463,6.700000000000002,0.9596619999999999,2011
The Seed of Man,3.6666666666666665,6.599999999999999,0.145102,1969
Wer wenn nicht wir,2.6666666666666665,5.7,1.933294,2011
Barbie Presents: Thumbelina,2.8684210526315788,5.5,8.499902,2009
Cart,3.5,6.8,1.467059,2014
Christmas Carol: The Movie,2.1,4.799999999999999,5.549394999999999,2001
"Conqueror, The",2.111111111111111,3.8000000000000003,2.050561,1956
Die Fischerin,2.5,5.0,0.345628,2014
Harmagedon,4.4,0.0,0.014956,1986
"Host, The (Gwoemul)",3.48270126413839,6.700000000000032,9.386915999999875,2006
It Could Happen to You,3.323719676549865,6.099999999999371,11.27207300000009,1994
Live by Night,3.079861111111111,6.200000000000014,19.94392999999995,2017
Magic,3.221518987341772,7.0,3.9440119999999923,1978
Mr. & Mrs. Incredible,4.5,5.0,0.473097,2011
O.J.: Made in America,4.077726218097448,8.5,3.545258999999989,2016
"Secret Life of Girls, The",3.0,6.0,0.607193,1999
Showtime,2.730695596681557,5.300000000000116,4.917862999999866,2002
The Republic of ShKID,3.5384615384615383,6.4,0.33664400000000005,1966
The Spy with a Cold Nose,2.5,0.0,0.470347,1966
Water and Power,3.5,9.0,0.664124,1989
"Act in Question, The (Acto en cuestión, El)",3.75,5.0,0.082589,1993
Arthur and the Invisibles,3.052132701421801,6.0,11.621533999999954,2007
Bad Men of Missouri,2.5,5.0,1.692907,1941
Drums Across the River,4.0,4.0,1.018422,1954
Maelström,3.68944099378882,6.299999999999981,1.343843999999997,2000
Olympia Part One: Festival of the Nations (Olympia 1. Teil - Fest der Völker),3.6818181818181817,6.599999999999997,1.5309269999999993,1938
Robbery at 3 O'clock,3.6666666666666665,6.3,0.36273,1962
Safe Haven,3.5791599353796446,6.9000000000000465,7.598422000000026,2013
The Chaos Class Failed the Class,3.96875,7.799999999999998,1.3375090000000005,1976
The Kind Words,4.166666666666667,5.0,0.14314,2015
Vibrator,2.7,6.0,0.525805,2003
"3 Worlds of Gulliver, The",3.6944444444444446,5.400000000000002,8.158266,1960
Club of the Laid Off,4.0,6.8,0.457028,1989
Foul Play,3.5331491712707184,6.300000000000054,4.789541999999986,1978
Garage Olimpo,3.6666666666666665,6.5,1.1224659999999997,1999
Hidden (a.k.a. Cache) (Caché),3.666268894192522,7.0,5.695859999999874,2005
Incubus,1.5,3.5,1.194126,2006
Kidnap Syndicate,3.6,7.0,0.134354,1975
Mala Noche,3.5657894736842106,6.0,2.9167209999999986,1985
"Man from Down Under, The",2.7083333333333335,0.0,0.06825400000000002,1943
"Man from London, The (A Londoni férfi)",3.2,7.099999999999996,8.901688000000004,2007
Monster High: Why Do Ghouls Fall in Love?,2.7222222222222223,5.8999999999999995,2.363315,2011
Passionada,2.869565217391304,6.699999999999995,0.4759509999999997,2002
Rory O'Shea Was Here (Inside I'm Dancing),3.8494897959183674,7.099999999999948,4.333887000000003,2004
Shadow of the Wolf,4.0,5.1,0.775108,1992
Shiva,0.5,3.5,0.079669,2006
The Borrowers,0.5,6.0,0.311734,1973
Zombie Night,2.0,3.4,1.438547,2013
Ascension,3.425287356321839,6.300000000000004,2.0973309999999974,2014
"Black Sleep, The",2.3,6.4,1.105228,1956
Camille,2.8333333333333335,7.3,0.214792,1921
Ennum Eppozhum,3.6666666666666665,5.3,0.535343,2015
"Flaying, The (El Bosque de los Sometidos)",3.25,6.0,0.047401,2012
Halloweed,0.5,3.6,1.114669,2016
Lie with Me,3.2093023255813953,5.199999999999992,9.317941000000012,2005
Messengers 2: The Scarecrow,2.0,5.1,4.171674000000001,2009
Moscow Does Not Believe in Tears (Moskva slezam ne verit),3.8431151241534987,7.900000000000059,3.494578000000029,1979
Nicholas and Alexandra,3.4305555555555554,7.0,1.9527519999999992,1971
The Harry Hill Movie,2.5,3.7999999999999994,0.9180069999999999,2013
The New Protocol,3.0,6.4,0.785909,2008
Uno bianca,3.0,6.0,0.877629,2001
Vincere,3.064814814814815,6.399999999999996,2.957936,2009
War on Everyone,3.0921052631578947,5.800000000000007,9.215387999999995,2016
Bonhoeffer: Agent of Grace,3.2,7.5,0.502653,2000
Celtic Pride,2.7383107088989442,4.899999999999905,1.9407470000000566,1996
"Gift, The",3.3784372904091216,6.399999999999985,7.886925999999522,2000
"Insect Woman, The (Nippon konchûki)",3.590909090909091,7.5,3.2495369999999997,1963
Lone Wolf McQuade,2.7126696832579187,5.5,5.839893000000003,1983
Losing Chase,3.2987012987012987,3.9000000000000004,0.901452,1996
Regeneration,3.35,7.5,0.720077,1915
Scott Walker: 30 Century Man,3.590909090909091,7.0,0.4151360000000002,2006
The Elusive Corporal,3.8333333333333335,5.900000000000001,0.655428,1962
The Olsen Gang in Deep Trouble,2.25,6.0,0.506507,2013
"Turn of the Screw, The",2.9444444444444446,5.1000000000000005,0.946251,2009
Urban Legends: Final Cut,2.170886075949367,4.3999999999999515,12.243528000000397,2000
Witch Hunt,2.0,2.7999999999999994,0.7600029999999999,1999
Avalanche,2.227272727272727,3.199999999999993,1.1922969999999973,1978
"Bloody Child, The",3.011904761904762,0.0,0.0012869999999999984,1996
Crawlspace,2.25,4.700000000000002,4.6063290000000015,2012
Donkey Punch,2.6041666666666665,4.5,2.8041540000000036,2008
Eila,3.0,7.5,0.077438,2003
In a World...,3.386861313868613,6.400000000000049,9.769134000000035,2013
Jane Eyre,3.5,6.5,0.4755690000000001,1970
Junk Mail (Budbringeren),3.1666666666666665,5.700000000000004,0.3367630000000001,1997
Mission London,3.0,6.8,0.9391359999999999,2010
Scrambled Beer,2.75,0.0,0.003795,2007
"Special Relationship, The",3.3870967741935485,5.699999999999994,1.7533320000000001,2010
Tango,2.0,4.4,0.445571,1993
The Kitchen,2.25,4.7,4.424429,2012
The Man From Hong Kong,3.1666666666666665,7.3,1.547134,1975
[REC] 4: Apocalypse,2.8072289156626504,5.199999999999993,7.328242,2014
Behavior,3.9166666666666665,7.0,1.006481,2014
"Carpetbaggers, The",3.0,5.300000000000005,1.427019000000001,1964
Chico & Rita,3.466666666666667,6.5,2.0991049999999998,2010
In the Good Old Summertime,3.5729166666666665,6.699999999999995,0.7412269999999995,1949
Journey from the Fall,3.5555555555555554,5.0,0.04456100000000001,2006
Kinky Boots,3.5423280423280423,6.299999999999998,4.893524999999969,2005
Lage Raho Munna Bhai,3.6578947368421053,7.600000000000013,3.540754999999995,2006
Stonehearst Asylum,3.471264367816092,6.599999999999957,21.99175500000001,2014
The ABCs of Death 2,2.8208955223880596,5.5,8.254856000000007,2014
Zotz!,2.5,6.5,0.103135,1962
A Family Man,3.413793103448276,6.6999999999999975,8.844173000000005,2017
August Evening,3.9,5.0,0.038979,2007
Ceremony,2.6666666666666665,5.200000000000001,4.186599,2011
Excalibur,3.5575972203661634,7.099999999999072,8.800454999998633,1981
"Fourth State, The (Die vierte Macht)",3.0416666666666665,4.8999999999999995,1.1837529999999998,2012
"Last Lions, The",3.960526315789474,7.199999999999995,5.372719999999995,2011
"Mummy: Tomb of the Dragon Emperor, The",2.6506429883649725,5.1999999999999025,14.25022700000037,2008
New Fist of Fury (Xin jing wu men),3.5,5.4,2.29062,1976
Spellcaster,2.75,4.7,0.663414,1992
The Billionaire,4.166666666666667,7.099999999999999,0.984083,2011
Thread of Lies,4.166666666666667,7.900000000000001,0.623593,2014
Twenty Years Later,3.6666666666666665,7.0,0.004218,1985
Twogether,2.5,0.0,0.047019,1994
Zift,3.0208333333333335,5.200000000000002,1.169328,2008
Cannery Row,3.435185185185185,5.5,2.0869539999999955,1982
Celestial Subway Lines/Salvaging Noise,4.25,8.5,0.07997,2005
Delirium,2.5,4.8,0.484645,1981
Dennis van Rita,3.0,4.0,0.139111,2006
Entertainment,2.611111111111111,5.2,1.311874,2015
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A)",2.323640960809102,5.100000000000146,11.560358000000116,1991
Here Comes the Groom,3.4285714285714284,4.5,0.272093,1951
Kill,2.5,2.0,0.165694,2008
Last of the Comanches,4.0,6.0,1.058964,1953
Midnight Movie,3.2142857142857144,5.6,1.6139800000000004,2008
Tales of Vesperia: The First Strike (Teiruzu obu vesuperia: The first strike),3.05,5.799999999999999,1.2273910000000001,2009
The Pass,2.7142857142857144,7.200000000000001,6.710178999999998,2016
Tiger Bay,4.0,7.8,1.133413,1959
Ali Baba Goes to Town,3.0,6.6,0.496835,1937
Asphalt,3.0,8.3,1.652859,1929
Griffin & Phoenix,3.4864864864864864,6.599999999999996,13.534116999999991,2006
Mankillers,3.75,5.5,0.641417,1987
Operation Diplomat,3.5,6.5,0.99295,1953
Remember the Titans,3.7803878062897938,7.4000000000000306,6.587725999999259,2000
Resistance,2.1666666666666665,0.0,0.010317,2003
The Millennials,4.5,0.0,0.024568,2015
The Things of Life,3.375,6.900000000000001,2.3496579999999994,1970
Young Man of Manhattan,3.0,0.0,0.090705,1930
Certified Copy (Copie conforme),3.638888888888889,7.400000000000023,10.701501000000006,2010
Convict,2.8333333333333335,5.400000000000001,1.4200039999999998,2014
Crush,1.9166666666666667,3.3000000000000003,1.682406,2009
Dirty Weekend,3.0217391304347827,5.200000000000002,2.9638630000000017,2015
Family Business,2.8251633986928106,5.400000000000025,4.616516999999994,1989
Family Viewing,3.2549019607843137,5.699999999999996,1.1314860000000009,1987
Il minestrone,0.5,7.0,0.652262,1981
Lassie,2.782389937106918,6.100000000000002,3.6453419999999586,1994
Mr. Kinky,2.75,6.5,0.733914,1968
Prisoner of the Mountains (Kavkazsky plennik),3.7244224422442245,6.599999999999964,1.015880999999998,1996
St. Nick,2.5,5.0,0.118621,2009
Teresa's Tattoo,2.5,6.0,0.761102,1994
The Expendables 3,2.940508628519528,6.100000000000103,14.75354499999969,2014
They Fought for Their Motherland,3.8684210526315788,7.2,0.954861,1975
Waiting for Godot,3.625,7.8,0.4239810000000001,2001
Carol,3.5905555555555555,7.300000000000115,8.36420100000012,2015
Crime Busters,3.4,6.800000000000004,9.351042000000005,1977
How I Unleashed World War II (Jak rozpetalem II wojne swiatowa),3.685185185185185,7.0,0.20246799999999995,1970
Isle of Flowers,3.9583333333333335,7.799999999999998,0.300881,1989
"Jungle Book 2, The",2.3685714285714288,5.599999999999965,10.605850999999921,2003
Red Eagle,1.75,5.8,1.175345,2010
Robot Holocaust,1.5,2.1,0.002001,1986
Spring Break,2.3366666666666664,5.100000000000014,2.031592999999993,1983
Stranded,1.9705882352941178,3.399999999999999,4.789119999999999,2013
Tender Is the Night,3.5,0.0,0.235787,1962
The Fate of the Furious,3.203551912568306,6.800000000000094,48.57328799999965,2017
The Naked Ape,4.0,5.0,0.061539,1973
Vamp U,2.107142857142857,4.700000000000001,7.057051,2013
Amorosa,3.3,6.0,0.9322709999999998,1986
"China Lake Murders, The",3.6666666666666665,0.0,0.001632,1990
Daens,3.208695652173913,6.70000000000001,0.7550470000000005,1992
Edward II,3.4705882352941178,5.700000000000002,4.556825000000002,1991
Hawaiian: The Legend of Eddie Aikau,3.5,8.0,0.867766,2013
"House Bunny, The",2.8796198521647307,5.600000000000033,9.920105999999773,2008
"Killing Is My Business, Honey",3.5833333333333335,6.8,5.0506269999999995,2009
Sex and Zen (Rou pu Tuan zhi tou Qing bao Jian),2.875,5.800000000000006,1.824275,1992
The Transporter Refuelled,2.9904458598726116,5.299999999999987,11.007319000000034,2015
Thirteen at Dinner,3.8333333333333335,5.5,1.4700119999999999,1985
4Got10,2.4166666666666665,4.3,1.777234,2015
"Best of Everything, The",3.25,7.199999999999997,1.0223210000000007,1959
Blue Jay,3.6627906976744184,7.2,3.6313299999999957,2016
"Boogeyman, The",2.4488636363636362,5.0,2.241944999999996,1980
Herman's House,2.8333333333333335,4.6,0.26625,2012
Hope Springs,2.782142857142857,5.100000000000013,10.28461599999999,2003
Kite Liberator,2.8333333333333335,6.3999999999999995,1.7213010000000002,2008
Monsterwolf,1.5,3.0,2.05618,2010
Old Acquaintance,3.296875,6.0,0.632669,1943
Personal Property,2.5,8.0,0.116248,1937
Risky Business,3.4857664233576644,6.400000000000998,6.505209000001099,1983
Sacrificio: Who Betrayed Che Guevara,3.1666666666666665,6.5,0.071988,2001
Song of the South,3.5872438863185723,6.899999999999805,4.045635000000103,1946
To the Arctic,3.25,5.7,1.926557,2012
Two Deaths,3.2531645569620253,7.0,0.145092,1995
Babylon 5: In the Beginning,3.658056042031524,7.3000000000001135,3.6807720000000597,1998
Barbie and the Three Musketeers,2.703125,6.1999999999999975,6.670164999999998,2009
Caesar and Cleopatra,3.142857142857143,6.599999999999999,1.0576690000000002,1945
Devour,2.411764705882353,4.9,2.475364999999999,2005
"Funny Thing Happened on the Way to the Forum, A",3.595905172413793,6.099999999999948,10.176281000000015,1966
Goshogaoka,2.5,0.0,0.00349,1998
Hoffman,3.7222222222222223,8.0,0.322493,1970
Marauders,2.892405063291139,5.8999999999999915,6.389817999999994,2016
"Mechanic, The",3.46376404494382,6.299999999999898,9.832341999999901,2011
Nukie,0.5,1.6,0.498547,1988
Q,3.5121951219512195,4.099999999999997,13.621580999999995,2011
The Mad Monster,2.125,2.5,1.084572,1942
They Call Me Trinity,3.5147679324894514,7.5,9.44941700000001,1971
Torment (Hets),3.3,6.900000000000003,2.2286270000000004,1944
Breathless (À bout de souffle),3.9666374012291485,7.700000000000328,8.200586000000222,1960
Extremely Loud and Incredibly Close,3.4153225806451615,6.900000000000046,7.826049999999979,2011
Ju-on: White Ghost,3.2037037037037037,6.0,2.2159979999999995,2009
My Sister's Keeper,3.543227665706052,7.1000000000000085,6.793972000000019,2009
Oasis,3.652173913043478,7.800000000000006,2.9250340000000024,2002
Rent,3.4189536878216122,6.699999999999874,9.53027800000014,2005
The Black Hole,3.357142857142857,7.200000000000002,2.42106,2008
The Suspicious Death of a Minor,2.875,6.5,0.896633,1975
Attila Marcel,3.761904761904762,6.599999999999997,2.044356,2013
Broadway Idiot,3.857142857142857,6.799999999999999,1.7292059999999998,2013
Ghoulies II,1.5980392156862746,4.40000000000001,3.6063189999999903,1987
Home Page,2.239130434782609,0.0,0.001183,1999
Lenny Cooke,3.6666666666666665,7.0,0.469718,2013
Life Begins for Andy Hardy,3.75,6.3,0.215163,1941
"Oh, God! You Devil",2.485645933014354,5.5,0.6340449999999997,1984
"Soldier's Sweetheart, A",3.5,7.0,0.053375,1998
The Idealist,3.5,7.6,1.756551,2015
The Palermo Connection,1.5,5.3,0.743157,1990
"Very Potter Sequel, A",3.642857142857143,7.199999999999995,0.4713480000000003,2010
White Squall,3.4867564046895354,6.299999999999514,9.568604000000049,1996
ATM,2.515957446808511,5.1000000000000085,8.950643000000012,2012
Circuitry Man,2.75,5.2,0.935723,1990
Crash,3.126018714156354,6.5,7.540612000000412,1996
Dr. Moreau's House of Pain,0.5,4.0,0.145918,2004
Guts (Agallas),2.0,5.5,0.083073,2009
Honeymoon,3.0,5.0,0.433842,2013
How the Lion Cub and the Turtle Sang a Song,3.0,6.5,0.02024799999999999,1974
Jack,3.0,7.8,0.879124,2014
"Mask of Zorro, The",3.2736532636455427,6.300000000001853,11.348096000001384,1998
Poongsan,2.9,6.3,0.315971,2011
The Boys from Fengkuei,4.0,6.8999999999999995,0.080905,1983
The Gardener,3.0,5.0,0.167329,1912
"Waiting Game, The",2.909090909090909,0.0,1.1695920000000006,2000
"Amateurs, The (Moguls, The)",2.989795918367347,5.599999999999999,7.118689999999999,2005
"Awful Truth, The",1.5,0.0,0.0,1925
Bad Santa 2,2.701923076923077,5.0,7.4591609999999955,2016
Charlie & Boots,1.5,6.9,1.527217,2009
Fat Chance,1.0,3.0,0.209126,2014
"Jungle Creature: Hugo, The (Jungledyret) (Go Hugo Go)",2.75,5.6000000000000005,0.6374399999999999,1993
Life After People,3.357142857142857,6.900000000000004,2.005716999999999,2008
Live and let Live,3.3,8.5,1.048548,2013
Looking For Lola,3.0,5.0,0.108347,1997
Paper Soldier (Bumazhnyy soldat),3.111111111111111,3.1000000000000005,1.0961420000000002,2008
"Secret of Roan Inish, The",3.85025498377376,6.099999999999611,1.750481000000033,1994
"Seventh Continent, The (Der siebente Kontinent)",3.756218905472637,7.59999999999998,5.694032000000006,1989
Snow White and the Three Stooges,2.75,5.8,3.136899,1961
Trail of Blood,2.25,0.0,0.002671,1972
Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6),3.5625,6.599999999999997,0.8602580000000003,1964
Alpha and Omega,2.5698529411764706,5.299999999999992,8.166450000000019,2010
Death Valley,2.5,4.0,0.56698,2015
Echoes from the Dead (Skumtimmen),3.3333333333333335,5.3,1.16425,2013
Il Successo,4.166666666666667,7.0,0.712687,1963
Nothing to Lose,3.625,6.9,0.851168,2008
Quartet,2.9615384615384617,4.6000000000000005,0.248291,1981
Syndromes and a Century (Sang sattawat),3.593220338983051,7.100000000000007,1.851506999999999,2006
Tenchi: The Samurai Astronomer,3.75,0.0,0.093914,2012
49th Parallel,3.360294117647059,6.600000000000008,1.8552739999999976,1941
Eddie's Million Dollar Cook Off,3.15,5.3999999999999995,1.079055,2003
Lone Wolf and Cub: White Heaven in Hell (Kozure ôkami: Jigoku e ikuzo! Daigorô),3.28125,7.099999999999996,2.111910000000001,1974
Man Vs.,2.769230769230769,5.4,0.494847,2015
"Nana, the True Key of Pleasure",1.5,4.7,1.276602,1983
"Outlaw, The",2.776536312849162,4.899999999999985,1.450988999999998,1943
Rugrats Go Wild!,2.293846153846154,5.5999999999999694,9.599033999999968,2003
The Pirates of Tortuga: Under the Black Flag,1.0,5.8,0.848021,2001
Torn,3.0,0.0,0.316591,2013
Tunisian Victory,2.0,0.0,0.009488,1944
Zameen,2.642857142857143,3.5,0.362692,2003
"Alien Predator (Mutant II) (Falling, The)",1.125,4.9,0.679484,1985
Apartment 1303 3D,1.9705882352941178,3.799999999999999,8.303374000000002,2012
